AUTOTHEFT_2014,AUTOTHEFT_2015,AUTOTHEFT_2016,AUTOTHEFT_2017,AUTOTHEFT_2018,AUTOTHEFT_2019,AUTOTHEFT_2020,AUTOTHEFT_2021,AUTOTHEFT_2022,AUTOTHEFT_2023,BIKETHEFT_2014,BIKETHEFT_2015,BIKETHEFT_2016,BIKETHEFT_2017,BIKETHEFT_2018,BIKETHEFT_2019,BIKETHEFT_2020,BIKETHEFT_2021,BIKETHEFT_2022,BIKETHEFT_2023
7,10,10,5,12,8,11,13,19,32,5,14,30,18,21,24,32,19,14,9
8,24,7,11,32,21,24,30,54,58,53,18,89,31,37,37,47,21,21,25
20,14,23,25,32,20,28,39,41,50,40,46,51,38,45,31,49,42,45,27
12,9,6,5,12,11,14,20,15,28,9,8,9,5,17,4,17,17,11,16
2,6,2,1,2,8,4,9,22,16,5,3,7,2,6,8,7,3,1,5
6,10,12,9,14,9,16,16,51,51,5,4,21,9,9,12,21,22,13,4
15,12,9,20,26,29,17,20,30,42,21,19,15,21,5,8,8,7,5,15
8,14,7,9,20,25,18,22,36,41,32,36,46,60,53,50,58,29,33,28
19,16,12,14,21,29,42,26,76,54,19,22,57,33,46,35,20,31,16,19
12,6,12,20,22,14,15,18,22,28,26,42,28,72,68,54,45,24,21,21
13,20,23,19,17,22,17,17,33,43,26,24,31,46,44,78,50,32,29,30
11,14,12,18,12,11,28,7,26,23,39,40,41,81,56,64,74,42,19,17
12,7,8,11,17,6,18,20,10,18,26,40,45,45,30,45,37,28,37,58
13,16,23,23,20,23,15,19,31,28,38,42,69,60,66,59,80,39,31,46
50,28,28,29,26,21,36,34,69,161,7,7,2,4,9,4,6,17,4,7
11,6,7,17,13,24,28,14,27,45,1,0,2,2,1,3,6,8,2,11
8,7,5,12,8,9,18,17,22,39,13,10,4,5,2,7,4,5,4,6
20,12,21,14,11,15,17,40,35,54,3,3,1,1,3,1,1,3,5,2
19,21,7,16,28,43,50,34,57,150,3,12,5,10,13,2,6,12,8,14
6,12,11,3,9,11,16,39,60,80,3,6,6,6,3,6,11,1,3,8
17,25,10,16,24,40,31,64,85,136,8,1,7,5,7,4,16,14,8,11
40,40,30,47,49,63,81,105,167,229,11,9,20,11,20,20,8,3,6,7
18,22,26,28,16,25,46,63,65,113,6,4,13,5,4,5,11,12,1,11
9,14,11,13,11,24,45,35,44,59,5,15,47,23,8,11,13,18,18,6
50,24,45,34,51,59,61,91,169,214,17,19,27,24,16,16,23,17,13,20
29,19,24,18,35,34,49,61,84,85,8,11,15,10,5,11,14,17,4,5
37,23,25,25,37,25,46,44,79,76,4,6,4,7,9,6,12,5,7,5
70,30,50,27,42,44,43,89,164,154,6,5,1,5,11,9,11,12,15,9
29,21,23,35,40,24,31,36,60,68,6,27,18,6,12,10,33,13,7,9
67,53,41,52,63,62,88,95,193,199,13,15,11,12,15,20,33,29,18,13
39,42,30,24,48,37,56,49,68,74,2,6,4,7,6,4,1,7,4,5
108,100,109,93,91,147,187,173,230,263,15,27,25,33,36,18,39,18,34,16
45,51,65,51,68,88,120,106,161,119,10,28,10,13,8,8,15,6,5,5
2,4,7,6,6,3,7,11,15,17,4,9,16,10,1,13,35,10,24,11
11,14,3,4,40,31,43,86,79,112,26,23,38,17,23,26,48,28,10,12
13,12,5,9,13,15,20,16,33,55,10,5,15,10,3,8,15,17,16,10
22,12,7,10,19,28,20,43,40,61,9,11,6,9,9,5,6,7,7,8
14,12,10,15,16,23,21,33,31,67,4,2,1,3,1,6,12,19,7,8
25,14,14,21,9,38,29,42,61,96,8,11,25,12,15,9,46,11,7,17
15,8,8,11,14,28,39,43,59,75,9,8,9,9,6,7,1,8,9,8
16,7,18,21,7,21,16,27,14,34,2,3,1,2,1,2,3,1,0,3
11,10,22,18,25,27,23,40,16,73,4,4,3,7,8,9,0,4,0,2
